"CapShape","CapSurface","CapColor","Bruises","Odor","GillAttachment","GillSpacing","GillSize","GillColor","StalkShape","StalkRoot","StalkSurfaceAboveRing","StalkSurfaceBelowRing","StalkColorAboveRing","StalkColorBelowRing","VeilType","VeilColor","RingNumber","RingType","SporePrintColor","Population","Habitat","Class"
"convex","smooth","white","True","anise","free","close","broad","gray","enlarging","club","smooth","smooth","white","white","partial","white",1,"pendant","brown","scattered","meadows","edible"
"flat","smooth","yellow","True","anise","free","crowded","narrow","pink","tapering","bulbous","smooth","smooth","white","white","partial","white",1,"pendant","purple","several","woods","edible"
"sunken","fibrous","gray","False","none","free","close","narrow","pink","enlarging","equal","smooth","smooth","white","white","partial","white",1,"pendant","black","several","urban","edible"
"flat","fibrous","yellow","True","almond","free","crowded","narrow","white","tapering","bulbous","smooth","smooth","white","white","partial","white",1,"pendant","brown","several","woods","edible"
"convex","scaly","brown","True","anise","free","close","broad","pink","enlarging","rooted","smooth","scaly","white","white","partial","white",1,"pendant","black","solitary","grasses","edible"
"convex","scaly","yellow","True","anise","free","close","broad","white","enlarging","rooted","smooth","scaly","white","white","partial","white",1,"pendant","brown","scattered","grasses","edible"
"convex","scaly","yellow","True","anise","free","close","broad","pink","enlarging","rooted","smooth","scaly","white","white","partial","white",1,"pendant","brown","solitary","paths","edible"
"convex","smooth","brown","True","pungent","free","close","narrow","black","enlarging","equal","smooth","smooth","white","white","partial","white",1,"pendant","brown","several","grasses","poisonous"
"convex","smooth","yellow","True","anise","free","close","broad","brown","enlarging","club","smooth","smooth","white","white","partial","white",1,"pendant","brown","scattered","meadows","edible"
"convex","scaly","white","True","pungent","free","close","narrow","pink","enlarging","equal","smooth","smooth","white","white","partial","white",1,"pendant","brown","scattered","urban","poisonous"
"convex","scaly","yellow","True","almond","free","close","broad","white","enlarging","club","smooth","smooth","white","white","partial","white",1,"pendant","black","scattered","grasses","edible"
"convex","scaly","white","True","almond","free","close","broad","white","enlarging","club","smooth","smooth","white","white","partial","white",1,"pendant","black","scattered","grasses","edible"
"flat","smooth","yellow","True","almond","free","crowded","narrow","white","tapering","bulbous","smooth","smooth","white","white","partial","white",1,"pendant","purple","several","woods","edible"
"convex","scaly","brown","True","pungent","free","close","narrow","white","enlarging","equal","smooth","smooth","white","white","partial","white",1,"pendant","brown","several","grasses","poisonous"
"bell","smooth","white","True","almond","free","close","broad","brown","enlarging","club","smooth","smooth","white","white","partial","white",1,"pendant","brown","scattered","grasses","edible"
"sunken","fibrous","gray","False","none","free","close","narrow","brown","enlarging","equal","smooth","smooth","white","white","partial","white",1,"pendant","black","solitary","urban","edible"
"convex","smooth","yellow","True","almond","free","close","broad","gray","enlarging","club","smooth","smooth","white","white","partial","white",1,"pendant","black","numerous","grasses","edible"
"convex","fibrous","gray","False","none","free","crowded","broad","black","tapering","equal","smooth","fibrous","white","white","partial","white",1,"evanescent","brown","scattered","grasses","edible"
"convex","scaly","yellow","True","almond","free","close","broad","brown","enlarging","club","smooth","smooth","white","white","partial","white",1,"pendant","brown","scattered","meadows","edible"
"bell","scaly","white","True","anise","free","close","broad","gray","enlarging","club","smooth","smooth","white","white","partial","white",1,"pendant","brown","scattered","grasses","edible"
"bell","smooth","yellow","True","anise","free","close","broad","black","enlarging","club","smooth","smooth","white","white","partial","white",1,"pendant","brown","numerous","meadows","edible"
"convex","smooth","white","True","anise","free","crowded","narrow","white","tapering","bulbous","smooth","smooth","white","white","partial","white",1,"pendant","purple","several","woods","edible"
"bell","smooth","white","True","anise","free","close","broad","black","enlarging","club","smooth","smooth","white","white","partial","white",1,"pendant","brown","scattered","grasses","edible"
"flat","scaly","brown","True","almond","free","close","broad","pink","enlarging","rooted","smooth","scaly","white","white","partial","white",1,"pendant","black","scattered","grasses","edible"
"sunken","fibrous","gray","False","none","free","close","narrow","gray","enlarging","equal","smooth","smooth","white","white","partial","white",1,"pendant","brown","solitary","urban","edible"
"convex","fibrous","white","False","none","free","crowded","broad","pink","tapering","equal","fibrous","smooth","white","white","partial","white",1,"evanescent","brown","abundant","grasses","edible"
"sunken","fibrous","brown","False","none","free","close","narrow","brown","enlarging","equal","smooth","smooth","white","white","partial","white",1,"pendant","black","several","urban","edible"
"flat","scaly","brown","True","anise","free","close","broad","pink","enlarging","rooted","smooth","scaly","white","white","partial","white",1,"pendant","black","scattered","paths","edible"
"flat","smooth","yellow","True","anise","free","crowded","narrow","brown","tapering","bulbous","smooth","smooth","white","white","partial","white",1,"pendant","purple","several","woods","edible"
"bell","smooth","yellow","True","almond","free","close","broad","brown","enlarging","club","smooth","smooth","white","white","partial","white",1,"pendant","brown","scattered","grasses","edible"
"bell","smooth","yellow","True","almond","free","close","broad","black","enlarging","club","smooth","smooth","white","white","partial","white",1,"pendant","black","numerous","meadows","edible"
"convex","smooth","brown","True","pungent","free","close","narrow","pink","enlarging","equal","smooth","smooth","white","white","partial","white",1,"pendant","black","several","grasses","poisonous"
"flat","scaly","brown","True","anise","free","close","broad","white","enlarging","rooted","smooth","scaly","white","white","partial","white",1,"pendant","brown","solitary","paths","edible"
"convex","smooth","yellow","True","almond","free","close","broad","white","enlarging","club","smooth","smooth","white","white","partial","white",1,"pendant","brown","scattered","grasses","edible"
"flat","scaly","yellow","True","almond","free","close","broad","pink","enlarging","rooted","smooth","scaly","white","white","partial","white",1,"pendant","brown","scattered","grasses","edible"
"convex","scaly","white","True","almond","free","close","broad","gray","enlarging","club","smooth","smooth","white","white","partial","white",1,"pendant","brown","numerous","grasses","edible"
"convex","scaly","yellow","True","almond","free","close","broad","white","enlarging","club","smooth","smooth","white","white","partial","white",1,"pendant","brown","scattered","meadows","edible"
"convex","scaly","yellow","True","anise","free","close","broad","black","enlarging","club","smooth","smooth","white","white","partial","white",1,"pendant","black","scattered","grasses","edible"
"flat","fibrous","brown","False","none","free","close","narrow","brown","enlarging","equal","smooth","smooth","white","white","partial","white",1,"pendant","brown","several","urban","edible"
"flat","scaly","yellow","True","anise","free","close","broad","pink","enlarging","rooted","smooth","scaly","white","white","partial","white",1,"pendant","brown","solitary","paths","edible"
"convex","fibrous","gray","False","none","free","close","narrow","pink","enlarging","equal","smooth","smooth","white","white","partial","white",1,"pendant","brown","solitary","urban","edible"
"convex","smooth","yellow","True","anise","free","close","broad","black","enlarging","club","smooth","smooth","white","white","partial","white",1,"pendant","brown","numerous","grasses","edible"
"flat","scaly","brown","True","almond","free","close","broad","pink","enlarging","rooted","smooth","scaly","white","white","partial","white",1,"pendant","black","solitary","paths","edible"
"convex","smooth","yellow","True","anise","free","close","broad","white","enlarging","club","smooth","smooth","white","white","partial","white",1,"pendant","brown","numerous","grasses","edible"
"convex","scaly","yellow","True","almond","free","close","broad","black","enlarging","club","smooth","smooth","white","white","partial","white",1,"pendant","brown","scattered","meadows","edible"
"convex","fibrous","brown","True","none","free","close","broad","brown","tapering","bulbous","smooth","smooth","gray","white","partial","white",1,"pendant","black","several","woods","edible"
"convex","smooth","white","True","almond","free","close","broad","brown","enlarging","club","smooth","smooth","white","white","partial","white",1,"pendant","brown","scattered","meadows","edible"
"convex","scaly","yellow","True","anise","free","close","broad","pink","enlarging","rooted","smooth","scaly","white","white","partial","white",1,"pendant","brown","scattered","paths","edible"
"convex","scaly","white","True","almond","free","close","broad","black","enlarging","club","smooth","smooth","white","white","partial","white",1,"pendant","brown","numerous","meadows","edible"
"convex","smooth","white","True","anise","free","close","broad","black","enlarging","club","smooth","smooth","white","white","partial","white",1,"pendant","black","numerous","grasses","edible"
"flat","scaly","yellow","True","anise","free","close","broad","white","enlarging","rooted","smooth","scaly","white","white","partial","white",1,"pendant","brown","solitary","grasses","edible"
"bell","smooth","yellow","True","anise","free","close","broad","brown","enlarging","club","smooth","smooth","white","white","partial","white",1,"pendant","brown","numerous","grasses","edible"
"flat","fibrous","white","True","almond","free","crowded","narrow","white","tapering","bulbous","smooth","smooth","white","white","partial","white",1,"pendant","brown","several","woods","edible"
"flat","smooth","gray","False","none","free","crowded","broad","brown","tapering","equal","smooth","fibrous","white","white","partial","white",1,"evanescent","brown","scattered","grasses","edible"
"convex","scaly","white","True","almond","free","close","broad","white","enlarging","club","smooth","smooth","white","white","partial","white",1,"pendant","black","numerous","grasses","edible"
"convex","scaly","white","True","anise","free","close","broad","brown","enlarging","club","smooth","smooth","white","white","partial","white",1,"pendant","black","numerous","grasses","edible"
"flat","scaly","yellow","True","anise","free","close","broad","brown","enlarging","rooted","smooth","scaly","white","white","partial","white",1,"pendant","black","scattered","grasses","edible"
"convex","smooth","white","True","almond","free","crowded","narrow","pink","tapering","bulbous","smooth","smooth","white","white","partial","white",1,"pendant","purple","several","woods","edible"
"convex","smooth","yellow","True","almond","free","close","broad","brown","enlarging","club","smooth","smooth","white","white","partial","white",1,"pendant","brown","scattered","grasses","edible"
"flat","scaly","yellow","True","almond","free","close","broad","brown","enlarging","rooted","smooth","scaly","white","white","partial","white",1,"pendant","brown","solitary","grasses","edible"
"convex","scaly","yellow","True","almond","free","close","broad","white","enlarging","rooted","smooth","scaly","white","white","partial","white",1,"pendant","black","solitary","paths","edible"
"convex","smooth","yellow","True","anise","free","close","broad","gray","enlarging","club","smooth","smooth","white","white","partial","white",1,"pendant","brown","numerous","grasses","edible"
"convex","fibrous","brown","True","none","free","close","broad","purple","tapering","bulbous","smooth","smooth","gray","pink","partial","white",1,"pendant","brown","solitary","woods","edible"
"flat","scaly","yellow","True","anise","free","close","broad","pink","enlarging","rooted","smooth","scaly","white","white","partial","white",1,"pendant","black","solitary","grasses","edible"
"convex","smooth","white","True","almond","free","close","broad","brown","enlarging","club","smooth","smooth","white","white","partial","white",1,"pendant","black","numerous","grasses","edible"
"bell","smooth","yellow","True","almond","free","close","broad","gray","enlarging","club","smooth","smooth","white","white","partial","white",1,"pendant","brown","scattered","meadows","edible"
"convex","smooth","yellow","True","anise","free","close","broad","black","enlarging","club","smooth","smooth","white","white","partial","white",1,"pendant","brown","scattered","meadows","edible"
"convex","scaly","brown","True","anise","free","close","broad","pink","enlarging","rooted","smooth","scaly","white","white","partial","white",1,"pendant","brown","scattered","grasses","edible"
"bell","scaly","yellow","True","almond","free","close","broad","black","enlarging","club","smooth","smooth","white","white","partial","white",1,"pendant","black","numerous","grasses","edible"
"convex","smooth","white","True","anise","free","close","broad","black","enlarging","club","smooth","smooth","white","white","partial","white",1,"pendant","black","numerous","meadows","edible"
"convex","scaly","white","True","anise","free","close","broad","black","enlarging","club","smooth","smooth","white","white","partial","white",1,"pendant","black","scattered","meadows","edible"
"convex","smooth","yellow","True","anise","free","close","broad","brown","enlarging","club","smooth","smooth","white","white","partial","white",1,"pendant","black","scattered","grasses","edible"
"flat","scaly","yellow","True","anise","free","close","broad","brown","enlarging","rooted","smooth","scaly","white","white","partial","white",1,"pendant","black","solitary","paths","edible"
"convex","fibrous","white","False","none","free","crowded","broad","brown","tapering","equal","fibrous","fibrous","white","white","partial","white",1,"evanescent","brown","abundant","grasses","edible"
"convex","smooth","brown","False","none","free","crowded","broad","pink","tapering","equal","fibrous","fibrous","white","white","partial","white",1,"evanescent","black","scattered","grasses","edible"
"convex","smooth","white","False","none","free","crowded","broad","chocolate","tapering","equal","fibrous","smooth","white","white","partial","white",1,"evanescent","brown","scattered","grasses","edible"
"convex","smooth","yellow","True","anise","free","close","broad","white","enlarging","club","smooth","smooth","white","white","partial","white",1,"pendant","brown","numerous","meadows","edible"
"flat","fibrous","white","False","none","free","crowded","broad","pink","tapering","equal","fibrous","smooth","white","white","partial","white",1,"evanescent","black","scattered","grasses","edible"
"flat","smooth","brown","True","pungent","free","close","narrow","brown","enlarging","equal","smooth","smooth","white","white","partial","white",1,"pendant","black","scattered","grasses","poisonous"
"convex","fibrous","gray","False","none","free","crowded","broad","pink","tapering","equal","fibrous","fibrous","white","white","partial","white",1,"evanescent","brown","scattered","grasses","edible"
"flat","scaly","brown","True","pungent","free","close","narrow","pink","enlarging","equal","smooth","smooth","white","white","partial","white",1,"pendant","brown","several","urban","poisonous"
"convex","smooth","brown","True","pungent","free","close","narrow","white","enlarging","equal","smooth","smooth","white","white","partial","white",1,"pendant","brown","several","grasses","poisonous"
"bell","smooth","white","True","anise","free","close","broad","black","enlarging","club","smooth","smooth","white","white","partial","white",1,"pendant","black","numerous","grasses","edible"
"convex","fibrous","gray","False","none","free","crowded","broad","pink","tapering","equal","fibrous","fibrous","white","white","partial","white",1,"evanescent","black","abundant","grasses","edible"
"convex","smooth","white","True","anise","free","close","broad","gray","enlarging","club","smooth","smooth","white","white","partial","white",1,"pendant","black","numerous","grasses","edible"
"flat","fibrous","gray","False","none","free","crowded","broad","brown","tapering","equal","smooth","smooth","white","white","partial","white",1,"evanescent","black","abundant","grasses","edible"
"convex","smooth","gray","False","none","free","crowded","broad","black","tapering","equal","smooth","smooth","white","white","partial","white",1,"evanescent","black","scattered","grasses","edible"
"convex","smooth","white","True","almond","free","close","broad","black","enlarging","club","smooth","smooth","white","white","partial","white",1,"pendant","brown","numerous","grasses","edible"
"convex","smooth","white","True","anise","free","close","broad","brown","enlarging","club","smooth","smooth","white","white","partial","white",1,"pendant","brown","scattered","meadows","edible"
"convex","scaly","gray","True","none","free","close","broad","brown","tapering","bulbous","smooth","smooth","gray","white","partial","white",1,"pendant","brown","solitary","woods","edible"
"flat","fibrous","brown","False","none","free","crowded","broad","black","tapering","equal","fibrous","fibrous","white","white","partial","white",1,"evanescent","brown","abundant","grasses","edible"
"convex","smooth","white","False","none","free","crowded","broad","chocolate","tapering","equal","smooth","fibrous","white","white","partial","white",1,"evanescent","black","scattered","grasses","edible"
"flat","fibrous","brown","False","none","free","crowded","broad","pink","tapering","equal","fibrous","smooth","white","white","partial","white",1,"evanescent","black","abundant","grasses","edible"
"convex","smooth","brown","False","none","free","crowded","broad","pink","tapering","equal","fibrous","fibrous","white","white","partial","white",1,"evanescent","brown","abundant","grasses","edible"
"convex","scaly","yellow","True","anise","free","close","broad","brown","enlarging","club","smooth","smooth","white","white","partial","white",1,"pendant","black","numerous","grasses","edible"
"convex","smooth","yellow","True","anise","free","crowded","narrow","white","tapering","bulbous","smooth","smooth","white","white","partial","white",1,"pendant","purple","several","woods","edible"
"flat","fibrous","white","False","none","free","crowded","broad","black","tapering","equal","fibrous","smooth","white","white","partial","white",1,"evanescent","brown","scattered","grasses","edible"
"convex","smooth","brown","False","none","free","crowded","broad","chocolate","tapering","equal","fibrous","smooth","white","white","partial","white",1,"evanescent","brown","abundant","grasses","edible"
"convex","smooth","gray","False","none","free","crowded","broad","black","tapering","equal","fibrous","smooth","white","white","partial","white",1,"evanescent","black","abundant","grasses","edible"
"convex","scaly","brown","True","pungent","free","close","narrow","white","enlarging","equal","smooth","smooth","white","white","partial","white",1,"pendant","black","scattered","urban","poisonous"
"convex","fibrous","gray","False","none","free","close","narrow","black","enlarging","equal","smooth","smooth","white","white","partial","white",1,"pendant","brown","solitary","urban","edible"
"bell","smooth","white","True","almond","free","close","broad","brown","enlarging","club","smooth","smooth","white","white","partial","white",1,"pendant","brown","numerous","meadows","edible"
"convex","smooth","gray","False","none","free","crowded","broad","chocolate","tapering","equal","smooth","smooth","white","white","partial","white",1,"evanescent","black","abundant","grasses","edible"
"flat","fibrous","gray","False","none","free","crowded","broad","brown","tapering","equal","smooth","fibrous","white","white","partial","white",1,"evanescent","brown","scattered","grasses","edible"
"flat","smooth","brown","True","pungent","free","close","narrow","brown","enlarging","equal","smooth","smooth","white","white","partial","white",1,"pendant","brown","several","grasses","poisonous"
"convex","smooth","yellow","True","anise","free","close","broad","black","enlarging","club","smooth","smooth","white","white","partial","white",1,"pendant","brown","scattered","grasses","edible"
"convex","fibrous","brown","False","none","free","close","narrow","brown","enlarging","equal","smooth","smooth","white","white","partial","white",1,"pendant","black","solitary","urban","edible"
"flat","smooth","white","False","none","free","crowded","broad","pink","tapering","equal","smooth","fibrous","white","white","partial","white",1,"evanescent","black","scattered","grasses","edible"
"convex","scaly","yellow","True","almond","free","close","broad","white","enlarging","club","smooth","smooth","white","white","partial","white",1,"pendant","black","numerous","meadows","edible"
"convex","fibrous","brown","False","none","free","crowded","broad","pink","tapering","equal","smooth","smooth","white","white","partial","white",1,"evanescent","black","scattered","grasses","edible"
"flat","smooth","gray","False","none","free","crowded","broad","brown","tapering","equal","fibrous","smooth","white","white","partial","white",1,"evanescent","black","abundant","grasses","edible"
"convex","scaly","red","True","none","free","close","broad","purple","tapering","bulbous","smooth","smooth","gray","pink","partial","white",1,"pendant","brown","solitary","woods","edible"
"bell","scaly","yellow","True","almond","free","close","broad","brown","enlarging","club","smooth","smooth","white","white","partial","white",1,"pendant","brown","numerous","grasses","edible"
"convex","fibrous","white","False","none","free","crowded","broad","brown","tapering","equal","fibrous","fibrous","white","white","partial","white",1,"evanescent","black","scattered","grasses","edible"
"convex","smooth","white","True","pungent","free","close","narrow","white","enlarging","equal","smooth","smooth","white","white","partial","white",1,"pendant","brown","scattered","grasses","poisonous"
"convex","fibrous","gray","False","none","free","crowded","broad","pink","tapering","equal","smooth","smooth","white","white","partial","white",1,"evanescent","brown","scattered","grasses","edible"
"flat","fibrous","gray","True","none","free","close","broad","brown","tapering","bulbous","smooth","smooth","white","gray","partial","white",1,"pendant","brown","several","woods","edible"
"flat","fibrous","brown","False","none","free","crowded","broad","chocolate","tapering","equal","fibrous","fibrous","white","white","partial","white",1,"evanescent","brown","abundant","grasses","edible"
"flat","fibrous","white","False","none","free","crowded","broad","brown","tapering","equal","fibrous","fibrous","white","white","partial","white",1,"evanescent","black","scattered","grasses","edible"
"bell","scaly","white","True","anise","free","close","broad","white","enlarging","club","smooth","smooth","white","white","partial","white",1,"pendant","black","scattered","grasses","edible"
"flat","fibrous","brown","False","none","free","crowded","broad","brown","tapering","equal","fibrous","smooth","white","white","partial","white",1,"evanescent","black","abundant","grasses","edible"
"flat","scaly","brown","True","pungent","free","close","narrow","white","enlarging","equal","smooth","smooth","white","white","partial","white",1,"pendant","brown","several","urban","poisonous"
"convex","scaly","white","True","pungent","free","close","narrow","white","enlarging","equal","smooth","smooth","white","white","partial","white",1,"pendant","brown","scattered","urban","poisonous"
"bell","smooth","yellow","True","anise","free","close","broad","brown","enlarging","club","smooth","smooth","white","white","partial","white",1,"pendant","black","scattered","grasses","edible"
"flat","smooth","gray","False","none","free","crowded","broad","chocolate","tapering","equal","smooth","fibrous","white","white","partial","white",1,"evanescent","brown","abundant","grasses","edible"
"convex","fibrous","gray","False","none","free","crowded","broad","brown","tapering","equal","smooth","fibrous","white","white","partial","white",1,"evanescent","brown","abundant","grasses","edible"
"flat","fibrous","brown","False","none","free","crowded","broad","chocolate","tapering","equal","fibrous","smooth","white","white","partial","white",1,"evanescent","brown","scattered","grasses","edible"
"bell","smooth","white","True","anise","free","close","broad","black","enlarging","club","smooth","smooth","white","white","partial","white",1,"pendant","black","scattered","meadows","edible"
"convex","smooth","white","True","pungent","free","close","narrow","white","enlarging","equal","smooth","smooth","white","white","partial","white",1,"pendant","black","several","urban","poisonous"
"convex","scaly","brown","True","none","free","close","broad","brown","tapering","bulbous","smooth","smooth","pink","pink","partial","white",1,"pendant","black","several","woods","edible"
"flat","fibrous","white","True","anise","free","crowded","narrow","brown","tapering","bulbous","smooth","smooth","white","white","partial","white",1,"pendant","purple","several","woods","edible"
"convex","scaly","yellow","True","anise","free","close","broad","black","enlarging","club","smooth","smooth","white","white","partial","white",1,"pendant","brown","numerous","meadows","edible"
"convex","fibrous","brown","False","none","free","crowded","broad","brown","tapering","equal","fibrous","fibrous","white","white","partial","white",1,"evanescent","black","abundant","grasses","edible"
"flat","fibrous","white","False","none","free","crowded","broad","chocolate","tapering","equal","fibrous","smooth","white","white","partial","white",1,"evanescent","black","abundant","grasses","edible"
"convex","fibrous","brown","True","none","free","close","broad","brown","tapering","bulbous","smooth","smooth","gray","pink","partial","white",1,"pendant","black","several","woods","edible"
"convex","fibrous","brown","True","none","free","close","broad","brown","tapering","bulbous","smooth","smooth","pink","gray","partial","white",1,"pendant","brown","solitary","woods","edible"
"flat","smooth","gray","False","none","free","crowded","broad","black","tapering","equal","fibrous","fibrous","white","white","partial","white",1,"evanescent","black","scattered","grasses","edible"
"flat","smooth","gray","False","none","free","crowded","broad","brown","tapering","equal","smooth","smooth","white","white","partial","white",1,"evanescent","black","scattered","grasses","edible"
"flat","smooth","brown","True","pungent","free","close","narrow","white","enlarging","equal","smooth","smooth","white","white","partial","white",1,"pendant","black","scattered","grasses","poisonous"
"convex","fibrous","brown","True","none","free","close","broad","brown","tapering","bulbous","smooth","smooth","white","pink","partial","white",1,"pendant","black","solitary","woods","edible"
"convex","smooth","brown","False","none","free","crowded","broad","black","tapering","equal","fibrous","fibrous","white","white","partial","white",1,"evanescent","black","scattered","grasses","edible"
"convex","fibrous","white","False","none","free","crowded","broad","black","tapering","equal","smooth","fibrous","white","white","partial","white",1,"evanescent","black","scattered","grasses","edible"
"flat","fibrous","brown","False","none","free","crowded","broad","brown","tapering","equal","fibrous","smooth","white","white","partial","white",1,"evanescent","brown","scattered","grasses","edible"
"convex","fibrous","brown","True","none","free","close","broad","brown","tapering","bulbous","smooth","smooth","pink","white","partial","white",1,"pendant","black","several","woods","edible"
"flat","fibrous","brown","True","none","free","close","broad","brown","tapering","bulbous","smooth","smooth","pink","white","partial","white",1,"pendant","black","several","woods","edible"
"convex","fibrous","gray","False","none","free","crowded","broad","brown","tapering","equal","smooth","fibrous","white","white","partial","white",1,"evanescent","black","scattered","grasses","edible"
"flat","fibrous","brown","True","none","free","close","broad","purple","tapering","bulbous","smooth","smooth","pink","white","partial","white",1,"pendant","black","solitary","woods","edible"
"convex","smooth","gray","False","none","free","crowded","broad","pink","tapering","equal","fibrous","fibrous","white","white","partial","white",1,"evanescent","black","scattered","grasses","edible"
"bell","scaly","white","True","anise","free","close","broad","brown","enlarging","club","smooth","smooth","white","white","partial","white",1,"pendant","black","numerous","grasses","edible"
"convex","fibrous","brown","True","none","free","close","broad","brown","tapering","bulbous","smooth","smooth","pink","pink","partial","white",1,"pendant","black","solitary","woods","edible"
"convex","scaly","yellow","True","anise","free","close","broad","black","enlarging","club","smooth","smooth","white","white","partial","white",1,"pendant","brown","scattered","grasses","edible"
"flat","fibrous","gray","False","none","free","crowded","broad","pink","tapering","equal","fibrous","fibrous","white","white","partial","white",1,"evanescent","black","abundant","grasses","edible"
"flat","fibrous","brown","True","none","free","close","broad","purple","tapering","bulbous","smooth","smooth","pink","pink","partial","white",1,"pendant","brown","solitary","woods","edible"
"convex","smooth","yellow","True","anise","free","close","broad","gray","enlarging","club","smooth","smooth","white","white","partial","white",1,"pendant","black","scattered","meadows","edible"
"flat","fibrous","gray","False","none","free","crowded","broad","chocolate","tapering","equal","smooth","smooth","white","white","partial","white",1,"evanescent","black","scattered","grasses","edible"
"convex","fibrous","brown","False","none","free","crowded","broad","black","tapering","equal","smooth","smooth","white","white","partial","white",1,"evanescent","brown","scattered","grasses","edible"
"convex","smooth","white","True","pungent","free","close","narrow","brown","enlarging","equal","smooth","smooth","white","white","partial","white",1,"pendant","black","scattered","urban","poisonous"
"convex","fibrous","white","False","none","free","crowded","broad","brown","tapering","equal","fibrous","fibrous","white","white","partial","white",1,"evanescent","brown","scattered","grasses","edible"
"flat","fibrous","white","False","none","free","crowded","broad","brown","tapering","equal","fibrous","smooth","white","white","partial","white",1,"evanescent","black","abundant","grasses","edible"
"convex","smooth","white","False","none","free","crowded","broad","brown","tapering","equal","smooth","fibrous","white","white","partial","white",1,"evanescent","brown","abundant","grasses","edible"
"convex","smooth","gray","False","none","free","crowded","broad","black","tapering","equal","smooth","fibrous","white","white","partial","white",1,"evanescent","black","abundant","grasses","edible"
"convex","scaly","yellow","True","anise","free","close","broad","brown","enlarging","club","smooth","smooth","white","white","partial","white",1,"pendant","brown","numerous","grasses","edible"
"convex","smooth","yellow","True","anise","free","close","broad","brown","enlarging","club","smooth","smooth","white","white","partial","white",1,"pendant","black","numerous","meadows","edible"
"convex","smooth","gray","False","none","free","crowded","broad","pink","tapering","equal","smooth","fibrous","white","white","partial","white",1,"evanescent","black","abundant","grasses","edible"
"convex","smooth","brown","False","none","free","crowded","broad","pink","tapering","equal","fibrous","smooth","white","white","partial","white",1,"evanescent","brown","scattered","grasses","edible"
"flat","fibrous","brown","False","none","free","close","narrow","brown","enlarging","equal","smooth","smooth","white","white","partial","white",1,"pendant","black","several","urban","edible"
"flat","smooth","white","False","none","free","crowded","broad","black","tapering","equal","smooth","fibrous","white","white","partial","white",1,"evanescent","black","scattered","grasses","edible"
"flat","smooth","white","False","none","free","crowded","broad","brown","tapering","equal","fibrous","fibrous","white","white","partial","white",1,"evanescent","black","abundant","grasses","edible"
"convex","scaly","yellow","True","anise","free","close","broad","brown","enlarging","club","smooth","smooth","white","white","partial","white",1,"pendant","brown","scattered","meadows","edible"
"flat","smooth","white","True","almond","free","crowded","narrow","white","tapering","bulbous","smooth","smooth","white","white","partial","white",1,"pendant","purple","several","woods","edible"
"bell","smooth","white","True","anise","free","close","broad","white","enlarging","club","smooth","smooth","white","white","partial","white",1,"pendant","brown","numerous","meadows","edible"
"flat","scaly","white","True","pungent","free","close","narrow","pink","enlarging","equal","smooth","smooth","white","white","partial","white",1,"pendant","black","several","urban","poisonous"
"convex","fibrous","gray","True","none","free","close","broad","brown","tapering","bulbous","smooth","smooth","pink","pink","partial","white",1,"pendant","black","solitary","woods","edible"
"flat","scaly","brown","True","anise","free","close","broad","pink","enlarging","rooted","smooth","scaly","white","white","partial","white",1,"pendant","brown","solitary","grasses","edible"
"flat","smooth","brown","False","none","free","crowded","broad","black","tapering","equal","smooth","smooth","white","white","partial","white",1,"evanescent","brown","scattered","grasses","edible"
"convex","smooth","white","True","pungent","free","close","narrow","white","enlarging","equal","smooth","smooth","white","white","partial","white",1,"pendant","black","several","grasses","poisonous"
"convex","scaly","brown","True","anise","free","close","broad","pink","enlarging","rooted","smooth","scaly","white","white","partial","white",1,"pendant","brown","solitary","grasses","edible"
"convex","smooth","gray","False","none","free","crowded","broad","pink","tapering","equal","smooth","fibrous","white","white","partial","white",1,"evanescent","brown","abundant","grasses","edible"
"convex","smooth","white","False","none","free","crowded","broad","black","tapering","equal","fibrous","smooth","white","white","partial","white",1,"evanescent","brown","abundant","grasses","edible"
"flat","fibrous","white","False","none","free","crowded","broad","pink","tapering","equal","fibrous","smooth","white","white","partial","white",1,"evanescent","brown","scattered","grasses","edible"
"convex","fibrous","brown","False","none","free","crowded","broad","black","tapering","equal","smooth","smooth","white","white","partial","white",1,"evanescent","brown","abundant","grasses","edible"
"convex","smooth","white","True","anise","free","close","broad","black","enlarging","club","smooth","smooth","white","white","partial","white",1,"pendant","brown","scattered","grasses","edible"
"convex","scaly","white","True","almond","free","close","broad","gray","enlarging","club","smooth","smooth","white","white","partial","white",1,"pendant","brown","scattered","meadows","edible"
"convex","smooth","white","False","none","free","crowded","broad","black","tapering","equal","smooth","smooth","white","white","partial","white",1,"evanescent","black","scattered","grasses","edible"
"flat","scaly","yellow","True","almond","free","close","broad","pink","enlarging","rooted","smooth","scaly","white","white","partial","white",1,"pendant","brown","scattered","paths","edible"
"flat","smooth","brown","False","none","free","crowded","broad","brown","tapering","equal","smooth","fibrous","white","white","partial","white",1,"evanescent","black","scattered","grasses","edible"
"flat","fibrous","gray","False","none","free","crowded","broad","chocolate","tapering","equal","fibrous","fibrous","white","white","partial","white",1,"evanescent","black","scattered","grasses","edible"
"flat","fibrous","yellow","True","almond","free","crowded","narrow","pink","tapering","bulbous","smooth","smooth","white","white","partial","white",1,"pendant","purple","several","woods","edible"
"flat","scaly","brown","True","anise","free","close","broad","brown","enlarging","rooted","smooth","scaly","white","white","partial","white",1,"pendant","brown","scattered","grasses","edible"
